ExternalId,ImageUrl,BrandExternalId,CategoryExternalId,ManufacturerPartNumber,UPC,Name,ProductPageUrl,CategoryPageUrl
21000051533,00021000051533_A1L1,VELVEETA,VELVEETA,21000051533,210000515370,VELVEETA 24 OZ DINNERS-LIQUID  ORIGINAL     12 BOX/CARTON EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000653201,00021000653201_A1L1,VELVEETA,VELVEETA,21000653201,210006532070,VELVEETA 24 OZ DINNERS-LIQUID ORIGINAL BAG/POUCH EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000658930,00021000658930_A1L1,VELVEETA,VELVEETA,21000658930,210006589370,VELVEETA 12 OZ DINNERS-LIQUID ORIGINAL BAG/POUCH EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000658893,00021000658893_A1L1,VELVEETA,VELVEETA,21000658893,210006588970,VELVEETA 10.3 OZ PROCESSED CHEESE-LIQUID DINNERS BACON BAG/POUCH EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000654925,00021000654925_A1L1,VELVEETA,VELVEETA,21000654925,210006549270,VELVEETA 12 OZ DINNERS-LIQUID 2% BAG/POUCH EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000656431,00021000656431_A1L1,VELVEETA,VELVEETA,21000656431,210006564370,VELVEETA 9.4 OZ DINNERS-LIQUID-ROTINI  CHEESE BROCCOLI     1 BOX/CARTON EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000025794,00021000025794_A1L1,VELVEETA,VELVEETA,21000025794,210000257970,VELVEETA 10 OZ DINNERS-LIQUID-ROTINI WHOLE GRAIN BOX/CARTON EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000042319,,VELVEETA,VELVEETA,21000042319,210000423170,VELVEETA 10 OZ DINNERS-LIQUID FORTIFIED ORIGINAL    LIMITED EDITION 1 BOX/CARTON EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000023226,00021000023226_A1L1,VELVEETA,VELVEETA,21000023226,210000232270,VELVEETA 2.39 OZ CONVENIENCE MEALS-SINGLE SERVE  ORIGINAL     1 TUB EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000023226,00021000023226_A1L1,VELVEETA,VELVEETA,21000023226,210000232270,VELVEETA 2.39 OZ CONVENIENCE MEALS-SINGLE SERVE  ORIGINAL     1 TUB EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000039852,00021000039852_A1L1,VELVEETA,VELVEETA,21000039852,210000398570,VELVEETA 2.39 OZ CONVENIENCE MEALS-SINGLE SERVE  QUESO BLANCO     1 TUB EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
